iter	Passed	Remaining
455	834	996
456	836	993
457	840	994
458	841	992
459	843	989
460	844	987
461	845	984
462	847	982
463	848	980
464	849	977
465	850	975
466	852	972
467	853	969
468	854	967
469	855	964
470	856	961
471	857	959
472	858	957
473	861	955
474	862	953
475	863	951
476	865	948
477	866	945
478	867	943
479	868	940
480	869	938
481	870	935
482	871	933
483	873	930
484	875	929
485	876	927
486	878	924
487	879	922
488	880	919
489	881	917
490	882	914
491	883	912
492	884	910
493	886	907
494	887	905
495	888	902
496	890	901
497	892	899
498	893	896
499	894	894
500	895	892
501	897	890
502	898	887
503	899	885
504	900	882
505	901	880
506	902	877
507	905	876
508	906	874
509	907	872
510	908	869
511	910	868
512	911	865
513	913	863
514	914	860
515	915	858
516	916	856
517	917	853
518	919	852
519	921	850
520	922	848
521	924	846
522	926	844
523	928	843
524	929	841
525	930	838
526	932	836
527	934	835
528	936	833
529	937	831
530	938	829
531	940	826
532	941	824
533	942	822
534	943	820
535	944	817
536	946	815
537	948	814
538	950	812
539	951	810
540	952	808
541	954	806
542	955	804
543	956	802
544	957	799
545	959	797
546	960	795
547	963	794
548	965	792
549	966	790
550	968	788
551	970	787
552	971	785
553	972	783
554	973	780
555	974	778
556	976	776
557	978	775
558	980	773
559	982	771
560	983	769
561	984	767
562	985	764
563	986	762
564	987	760
565	988	758
566	989	755
567	993	755
568	995	754
569	996	751
570	997	749
571	999	748
572	1001	746
573	1002	743
574	1003	741
575	1004	739
576	1008	739
577	1009	737
578	1011	735
579	1014	734
580	1015	732
581	1030	740
582	1033	738
583	1035	737
584	1042	739
585	1046	739
586	1048	737
587	1050	735
588	1054	735
589	1057	734
590	1059	733
591	1062	731
592	1064	730
593	1065	728
594	1070	728
595	1072	727
596	1074	725
597	1077	724
598	1079	722
599	1081	721
600	1087	721
601	1089	720
602	1092	718
603	1093	717
604	1095	715
605	1100	715
606	1102	713
607	1105	712
608	1107	711
609	1109	709
610	1111	707
611	1116	707
612	1118	706
613	1120	704
614	1123	703
615	1125	701
616	1126	699
617	1127	696
618	1131	696
619	1133	694
620	1136	693
621	1137	691
622	1139	689
623	1141	687
624	1144	686
625	1148	685
626	1150	684
627	1151	682
628	1152	680
629	1154	677
630	1155	675
631	1156	673
632	1159	672
633	1162	670
634	1164	669
635	1165	667
636	1166	664
637	1167	662
638	1168	660
639	1170	658
640	1171	656
641	1174	654
642	1176	653
643	1177	650
644	1178	648
645	1180	646
646	1181	644
647	1183	642
648	1184	640
649	1185	638
650	1186	636
651	1188	634
652	1190	632
653	1191	630
654	1193	628
655	1194	626
656	1195	624
657	1197	622
658	1198	619
659	1199	617
660	1200	615
661	1201	613
662	1206	613
663	1207	611
664	1208	609
665	1210	606
666	1211	604
667	1212	602
668	1213	600
669	1214	598
670	1215	596
671	1219	595
672	1221	593
673	1222	591
674	1224	589
675	1225	587
676	1226	585
677	1227	582
678	1228	580
679	1229	578
680	1231	576
681	1233	575
682	1235	573
683	1236	571
684	1237	569
685	1238	567
686	1240	565
687	1241	563
688	1242	560
689	1243	558
690	1245	556
691	1246	554
692	1249	553
693	1251	551
694	1253	550
695	1255	548
696	1256	546
697	1257	544
698	1258	541
699	1259	539
700	1260	537
701	1263	536
702	1265	534
703	1266	532
704	1267	530
705	1269	528
706	1270	526
707	1271	524
708	1272	522
709	1273	520
710	1275	518
711	1278	516
712	1279	515
713	1280	513
714	1282	511
715	1283	509
716	1284	507
717	1286	505
718	1287	503
719	1288	501
720	1290	499
721	1292	497
722	1294	495
723	1295	493
724	1296	491
725	1298	490
726	1299	488
